epoch,step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/loss
0,9,,0.875,,0.6344764232635498,,,
0,19,,0.90625,,0.29136815667152405,,,
0,29,,0.96875,,0.1392742246389389,,,
0,39,,0.96875,,0.08286653459072113,,,
0,49,,1.0,,0.08148127794265747,,,
0,59,,0.9375,,0.14943310618400574,,,
0,69,,0.96875,,0.09067157655954361,,,
0,79,,0.9375,,0.14123287796974182,,,
0,89,,0.96875,,0.14566808938980103,,,
0,99,,0.96875,,0.07613128423690796,,,
0,109,,0.9375,,0.10520269721746445,,,
0,119,,0.96875,,0.10051800310611725,,,
0,129,,1.0,,0.06999380141496658,,,
0,139,,0.96875,,0.14860360324382782,,,
0,149,,1.0,,0.051006436347961426,,,
0,159,,0.9375,,0.10586860030889511,,,
0,169,,0.96875,,0.1895296424627304,,,
0,179,,1.0,,0.03885843977332115,,,
0,189,,0.96875,,0.08007503300905228,,,
0,199,,1.0,,0.039384618401527405,,,
0,209,,0.96875,,0.07304653525352478,,,
0,219,,1.0,,0.0134762367233634,,,
0,229,,1.0,,0.031027711927890778,,,
0,239,,1.0,,0.015075918287038803,,,
0,249,,1.0,,0.009875288233160973,,,
0,259,,1.0,,0.006766919977962971,,,
0,269,,1.0,,0.03160925954580307,,,
0,279,,0.96875,,0.04969824105501175,,,
0,289,,0.96875,,0.09944076091051102,,,
0,299,,1.0,,0.06149986758828163,,,
0,309,,1.0,,0.010520130395889282,,,
0,319,,1.0,,0.015581776387989521,,,
0,329,,1.0,,0.015161000192165375,,,
0,339,,1.0,,0.015208068303763866,,,
0,349,,1.0,,0.053323231637477875,,,
0,359,,1.0,,0.02469617873430252,,,
0,369,,1.0,,0.10242550075054169,,,
0,379,,1.0,,0.051416002213954926,,,
0,389,,0.96875,,0.16349510848522186,,,
0,399,,1.0,,0.015620852820575237,,,
0,409,,1.0,,0.007651022635400295,,,
0,419,,0.96875,,0.08893957734107971,,,
0,429,,0.96875,,0.13714124262332916,,,
0,439,,0.9375,,0.11901052296161652,,,
0,449,,0.96875,,0.0800434947013855,,,
0,459,,1.0,,0.010088200680911541,,,
0,468,,,,,0.9929999709129333,0.993002712726593,0.02574838511645794
0,468,0.9634000062942505,,0.1290256679058075,,,,
1,469,,1.0,,0.008157400414347649,,,
1,479,,1.0,,0.06999294459819794,,,
1,489,,1.0,,0.021327003836631775,,,
1,499,,0.96875,,0.06547032296657562,,,
1,509,,1.0,,0.002575105521827936,,,
1,519,,1.0,,0.007688799872994423,,,
1,529,,1.0,,0.046715449541807175,,,
1,539,,1.0,,0.0026376531459391117,,,
1,549,,0.96875,,0.21080954372882843,,,
1,559,,0.96875,,0.15811575949192047,,,
1,569,,1.0,,0.03050845116376877,,,
1,579,,1.0,,0.0037512611597776413,,,
1,589,,1.0,,0.0031445599161088467,,,
1,599,,0.96875,,0.06829239428043365,,,
1,609,,0.96875,,0.0467999204993248,,,
1,619,,1.0,,0.0014988117618486285,,,
1,629,,1.0,,0.027175437659025192,,,
1,639,,0.96875,,0.06217018514871597,,,
1,649,,1.0,,0.010101950727403164,,,
1,659,,0.9375,,0.20385009050369263,,,
1,669,,0.9375,,0.1371491253376007,,,
1,679,,0.96875,,0.2320256233215332,,,
1,689,,1.0,,0.004442988894879818,,,
1,699,,1.0,,0.007695551961660385,,,
1,709,,1.0,,0.06382694840431213,,,
1,719,,0.96875,,0.039649780839681625,,,
1,729,,1.0,,0.006028365809470415,,,
1,739,,1.0,,0.014631537720561028,,,
1,749,,0.96875,,0.054517608135938644,,,
1,759,,1.0,,0.04762199521064758,,,
1,769,,0.96875,,0.036983672529459,,,
1,779,,1.0,,0.02262837439775467,,,
1,789,,1.0,,0.0055135940201580524,,,
1,799,,1.0,,0.001971043646335602,,,
1,809,,1.0,,0.02500903606414795,,,
1,819,,1.0,,0.0036620781756937504,,,
1,829,,1.0,,0.028705202043056488,,,
1,839,,1.0,,0.028687991201877594,,,
1,849,,1.0,,0.0025850480888038874,,,
1,859,,1.0,,0.006276124157011509,,,
1,869,,1.0,,0.005674490239471197,,,
1,879,,0.96875,,0.21632447838783264,,,
1,889,,1.0,,0.008354684337973595,,,
1,899,,1.0,,0.00280393217690289,,,
1,909,,1.0,,0.011909419670701027,,,
1,919,,0.96875,,0.11282232403755188,,,
1,929,,0.96875,,0.09263124316930771,,,
1,937,,,,,0.996999979019165,0.9969965815544128,0.010520026087760925
1,937,0.9882000088691711,,0.042967915534973145,,,,
2,939,,1.0,,0.04411367326974869,,,
2,949,,1.0,,0.005127821583300829,,,
2,959,,1.0,,0.0028903980273753405,,,
2,969,,1.0,,0.019328221678733826,,,
2,979,,0.96875,,0.06323353946208954,,,
2,989,,1.0,,0.0021852643694728613,,,
2,999,,1.0,,0.009880414232611656,,,
2,1009,,1.0,,0.0013505432289093733,,,
2,1019,,1.0,,0.0033190161921083927,,,
2,1029,,1.0,,0.002460456220433116,,,
2,1039,,1.0,,0.004638164769858122,,,
2,1049,,1.0,,0.002614535391330719,,,
2,1059,,1.0,,0.019627876579761505,,,
2,1069,,1.0,,0.0059316325932741165,,,
2,1079,,1.0,,0.008385987021028996,,,
2,1089,,1.0,,0.005834342446178198,,,
2,1099,,1.0,,0.003348500467836857,,,
2,1109,,1.0,,0.002308605471625924,,,
2,1119,,1.0,,0.0029310632962733507,,,
2,1129,,1.0,,0.0004379001329652965,,,
2,1139,,1.0,,0.013250990770757198,,,
2,1149,,1.0,,0.008145645260810852,,,
2,1159,,0.96875,,0.04937789961695671,,,
2,1169,,1.0,,0.006901064421981573,,,
2,1179,,1.0,,0.008381133899092674,,,
2,1189,,1.0,,0.0019687889143824577,,,
2,1199,,1.0,,0.01416983362287283,,,
2,1209,,1.0,,0.005756983067840338,,,
2,1219,,1.0,,0.0012616293970495462,,,
2,1229,,1.0,,0.005755545571446419,,,
2,1239,,1.0,,0.010462464764714241,,,
2,1249,,1.0,,0.01310901902616024,,,
2,1259,,0.96875,,0.04585698992013931,,,
2,1269,,1.0,,0.0014283532509580255,,,
2,1279,,1.0,,0.01878717541694641,,,
2,1289,,1.0,,0.0048496779054403305,,,
2,1299,,1.0,,0.0007933222223073244,,,
2,1309,,0.96875,,0.03706566244363785,,,
2,1319,,1.0,,0.018671900033950806,,,
2,1329,,0.96875,,0.07271191477775574,,,
2,1339,,1.0,,0.03796157240867615,,,
2,1349,,1.0,,0.02241736836731434,,,
2,1359,,1.0,,0.02015877142548561,,,
2,1369,,1.0,,0.03062542714178562,,,
2,1379,,1.0,,0.005950278136879206,,,
2,1389,,1.0,,0.011299820616841316,,,
2,1399,,0.96875,,0.038537152111530304,,,
2,1406,,,,,0.9959999918937683,0.9959965348243713,0.01450219377875328
2,1406,0.9919999837875366,,0.02719740755856037,,,,
3,1409,,1.0,,0.0019618277437984943,,,
3,1419,,1.0,,0.006896754261106253,,,
3,1429,,1.0,,0.0014268959639593959,,,
3,1439,,1.0,,0.005380723159760237,,,
3,1449,,1.0,,0.0017643158789724112,,,
3,1459,,1.0,,0.009113931097090244,,,
3,1469,,1.0,,0.000842709094285965,,,
3,1479,,1.0,,0.007385545410215855,,,
3,1489,,1.0,,0.0007389250095002353,,,
3,1499,,1.0,,0.0006995973526500165,,,
3,1509,,1.0,,0.002345612971112132,,,
3,1519,,1.0,,0.001417731400579214,,,
3,1529,,1.0,,0.0017353864386677742,,,
3,1539,,1.0,,0.006441466510295868,,,
3,1549,,1.0,,0.003157847560942173,,,
3,1559,,1.0,,0.001263003796339035,,,
3,1569,,1.0,,0.0003476941492408514,,,
3,1579,,1.0,,0.000945957493968308,,,
3,1589,,1.0,,0.0009019660647027194,,,
3,1599,,1.0,,0.0014077352825552225,,,
3,1609,,1.0,,0.00012647316907532513,,,
3,1619,,1.0,,0.0013076352188363671,,,
3,1629,,1.0,,0.0011023941915482283,,,
3,1639,,1.0,,0.001809341018088162,,,
3,1649,,1.0,,0.002960627432912588,,,
3,1659,,1.0,,0.006135598756372929,,,
3,1669,,1.0,,0.0010981977684423327,,,
3,1679,,1.0,,0.0024740181397646666,,,
3,1689,,1.0,,0.0005511647905223072,,,
3,1699,,1.0,,0.00382286892272532,,,
3,1709,,1.0,,0.004216591361910105,,,
3,1719,,1.0,,0.000314339529722929,,,
3,1729,,1.0,,0.007975084707140923,,,
