epoch,step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/loss
0,9,,0.9375,,0.342841774225235,,,
0,19,,0.90625,,0.2814177870750427,,,
0,29,,1.0,,0.038758546113967896,,,
0,39,,0.90625,,0.279619038105011,,,
0,49,,1.0,,0.01758512668311596,,,
0,59,,1.0,,0.0035487525165081024,,,
0,69,,0.96875,,0.044031642377376556,,,
0,79,,0.96875,,0.08292306959629059,,,
0,89,,1.0,,0.033562593162059784,,,
0,99,,0.90625,,0.18377862870693207,,,
0,109,,0.96875,,0.0666370838880539,,,
0,119,,0.9375,,0.2760898768901825,,,
0,129,,1.0,,0.05464755371212959,,,
0,139,,0.96875,,0.05030687525868416,,,
0,149,,1.0,,0.037796683609485626,,,
0,159,,1.0,,0.010880443267524242,,,
0,169,,0.96875,,0.1098400130867958,,,
0,179,,1.0,,0.015096963383257389,,,
0,189,,1.0,,0.016141820698976517,,,
0,199,,0.96875,,0.08512376993894577,,,
0,209,,1.0,,0.008311009965837002,,,
0,219,,0.96875,,0.03903660923242569,,,
0,229,,1.0,,0.008285566233098507,,,
0,239,,1.0,,0.03838316723704338,,,
0,249,,1.0,,0.011316709220409393,,,
0,259,,1.0,,0.0018007757607847452,,,
0,269,,1.0,,0.022903768345713615,,,
0,279,,1.0,,0.0013340625446289778,,,
0,289,,1.0,,0.0016688378527760506,,,
0,299,,1.0,,0.0007652378408238292,,,
0,309,,0.90625,,0.5371599793434143,,,
0,319,,1.0,,0.02157149650156498,,,
0,329,,0.9375,,0.10336291044950485,,,
0,339,,0.96875,,0.1459336131811142,,,
0,349,,1.0,,0.032699234783649445,,,
0,359,,0.96875,,0.07135683298110962,,,
0,369,,1.0,,0.008064587600529194,,,
0,379,,1.0,,0.0010850451653823256,,,
0,389,,0.96875,,0.09137306362390518,,,
0,399,,1.0,,0.026796981692314148,,,
0,409,,1.0,,0.0007123402319848537,,,
0,419,,1.0,,0.028779324144124985,,,
0,429,,1.0,,0.011904502287507057,,,
0,439,,1.0,,0.0005481927655637264,,,
0,449,,1.0,,0.003627476282417774,,,
0,459,,1.0,,0.002563580870628357,,,
0,468,,,,,0.9963333606719971,0.9963305592536926,0.01420209463685751
0,468,0.9746000170707703,,0.09900598227977753,,,,
1,469,,1.0,,0.005491281393915415,,,
1,479,,1.0,,0.0027724439278244972,,,
1,489,,1.0,,0.0008112959912978113,,,
1,499,,1.0,,0.00048648944357410073,,,
