epoch,step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/loss
0,9,,0.625,,1.925699234008789,,,
0,19,,0.90625,,1.028223991394043,,,
0,29,,0.875,,0.7194855213165283,,,
0,39,,0.96875,,0.2490016520023346,,,
0,49,,1.0,,0.16178743541240692,,,
0,59,,0.90625,,0.18862342834472656,,,
0,69,,1.0,,0.05789976939558983,,,
0,79,,0.96875,,0.09364600479602814,,,
0,89,,0.96875,,0.11291675269603729,,,
0,99,,1.0,,0.07480036467313766,,,
0,109,,0.96875,,0.1449129581451416,,,
0,119,,1.0,,0.0492142029106617,,,
0,129,,0.96875,,0.13536731898784637,,,
0,139,,0.96875,,0.1046631783246994,,,
0,149,,1.0,,0.024046506732702255,,,
0,159,,0.96875,,0.07134278118610382,,,
0,169,,1.0,,0.026807961985468864,,,
0,179,,1.0,,0.018214590847492218,,,
0,189,,1.0,,0.024045757949352264,,,
0,199,,1.0,,0.010881195776164532,,,
0,209,,1.0,,0.014343753457069397,,,
0,219,,1.0,,0.019071504473686218,,,
0,229,,0.96875,,0.04782494157552719,,,
0,239,,1.0,,0.0342072956264019,,,
0,249,,1.0,,0.027370590716600418,,,
0,259,,0.96875,,0.1587843894958496,,,
0,269,,1.0,,0.022151989862322807,,,
0,279,,0.96875,,0.1930059790611267,,,
0,289,,1.0,,0.016144104301929474,,,
0,299,,1.0,,0.008751573972404003,,,
0,309,,1.0,,0.025450054556131363,,,
0,319,,0.96875,,0.06725412607192993,,,
0,329,,1.0,,0.02102009207010269,,,
0,339,,0.96875,,0.04142415151000023,,,
0,349,,1.0,,0.021770337596535683,,,
0,359,,1.0,,0.012984149158000946,,,
0,369,,0.96875,,0.06578566879034042,,,
0,379,,0.96875,,0.0910986065864563,,,
0,389,,1.0,,0.01283317431807518,,,
0,399,,1.0,,0.020270556211471558,,,
0,409,,0.96875,,0.04995713382959366,,,
0,419,,1.0,,0.0069096991792321205,,,
0,429,,0.96875,,0.10265077650547028,,,
0,439,,1.0,,0.01041557639837265,,,
0,449,,0.9375,,0.11554396152496338,,,
0,459,,1.0,,0.043034594506025314,,,
0,468,,,,,0.9980000257492065,0.9979999661445618,0.008643416687846184
0,468,0.9667333364486694,,0.16546976566314697,,,,
1,469,,1.0,,0.004450052045285702,,,
1,479,,1.0,,0.0052346219308674335,,,
1,489,,1.0,,0.0025589200668036938,,,
1,499,,0.96875,,0.05832119658589363,,,
1,509,,0.96875,,0.05496516078710556,,,
1,519,,1.0,,0.00987451896071434,,,
1,529,,1.0,,0.006526347249746323,,,
1,539,,1.0,,0.005558136384934187,,,
1,549,,1.0,,0.0043221767991781235,,,
1,559,,1.0,,0.007941090501844883,,,
1,569,,1.0,,0.0034581024665385485,,,
1,579,,1.0,,0.0029627508483827114,,,
