epoch,step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/loss
0,9,,0.09375,,2.5770039558410645,,,
0,19,,0.21875,,2.2894845008850098,,,
0,29,,0.28125,,2.124516487121582,,,
0,39,,0.34375,,2.0815858840942383,,,
0,49,,0.3125,,1.9049901962280273,,,
0,59,,0.5,,1.6998975276947021,,,
0,69,,0.5625,,1.655773401260376,,,
0,79,,0.53125,,1.4945952892303467,,,
0,89,,0.4375,,1.566786289215088,,,
0,99,,0.46875,,1.9354283809661865,,,
0,109,,0.53125,,1.7168941497802734,,,
0,119,,0.75,,0.9440773725509644,,,
0,129,,0.625,,0.9967432022094727,,,
0,139,,0.6875,,0.998844563961029,,,
0,149,,0.625,,1.1957236528396606,,,
0,159,,0.625,,1.1673376560211182,,,
0,169,,0.59375,,1.1685535907745361,,,
0,179,,0.5625,,1.3498637676239014,,,
0,189,,0.71875,,1.004213809967041,,,
0,199,,0.65625,,1.280191421508789,,,
0,209,,0.5625,,1.3563435077667236,,,
0,219,,0.5,,1.4401253461837769,,,
0,229,,0.75,,1.0126676559448242,,,
0,239,,0.8125,,0.7951992750167847,,,
0,249,,0.59375,,1.0580897331237793,,,
0,259,,0.71875,,0.9617363810539246,,,
0,269,,0.71875,,1.015769600868225,,,
0,279,,0.6875,,1.2636792659759521,,,
0,289,,0.78125,,0.8114502429962158,,,
0,299,,0.65625,,1.0082638263702393,,,
0,309,,0.625,,1.2721147537231445,,,
0,319,,0.59375,,1.3334243297576904,,,
0,329,,0.625,,0.9221677780151367,,,
0,339,,0.71875,,0.9658851623535156,,,
0,349,,0.71875,,0.8797128796577454,,,
0,359,,0.8125,,0.6449997425079346,,,
0,369,,0.6875,,0.861180305480957,,,
0,379,,0.8125,,0.8633815050125122,,,
0,389,,0.71875,,0.8508208990097046,,,
0,399,,0.75,,0.7236367464065552,,,
0,409,,0.90625,,0.3699091374874115,,,
0,419,,0.625,,1.0455412864685059,,,
0,429,,0.78125,,0.5288949012756348,,,
0,439,,0.78125,,0.7587643265724182,,,
0,449,,0.71875,,0.6922732591629028,,,
0,459,,0.75,,0.6206145882606506,,,
0,468,,,,,0.7549999952316284,0.7519169449806213,0.7344258427619934
0,468,0.599399983882904,,1.2110373973846436,,,,
1,469,,0.71875,,0.7723111510276794,,,
1,479,,0.71875,,0.6524159908294678,,,
1,489,,0.90625,,0.4447705149650574,,,
1,499,,0.78125,,0.6949662566184998,,,
1,509,,0.75,,0.8085787296295166,,,
1,519,,0.84375,,0.5750309824943542,,,
1,529,,0.78125,,0.664962649345398,,,
1,539,,0.75,,0.6286457180976868,,,
1,549,,0.71875,,0.6043719053268433,,,
1,559,,0.84375,,0.5796249508857727,,,
1,569,,0.71875,,0.725325345993042,,,
1,579,,0.8125,,0.5575867891311646,,,
1,589,,0.8125,,0.8677469491958618,,,
1,599,,0.6875,,0.9393292665481567,,,
1,609,,0.78125,,0.8412967920303345,,,
1,619,,0.875,,0.561494767665863,,,
1,629,,0.71875,,0.8770131468772888,,,
1,639,,0.875,,0.3356955051422119,,,
1,649,,0.75,,0.7337830066680908,,,
1,659,,0.8125,,0.4400123655796051,,,
1,669,,0.78125,,0.7267245650291443,,,
1,679,,0.8125,,0.5630314350128174,,,
1,689,,0.8125,,0.39054250717163086,,,
1,699,,0.8125,,0.5257311463356018,,,
1,709,,0.90625,,0.387443482875824,,,
1,719,,0.875,,0.6121737957000732,,,
1,729,,0.8125,,0.7478768825531006,,,
1,739,,0.8125,,0.5357113480567932,,,
1,749,,0.96875,,0.17691367864608765,,,
1,759,,0.875,,0.3801940679550171,,,
1,769,,0.78125,,0.4736866354942322,,,
1,779,,0.8125,,0.7094782590866089,,,
1,789,,0.90625,,0.3143455982208252,,,
1,799,,0.8125,,0.4064898192882538,,,
1,809,,0.71875,,1.0884572267532349,,,
1,819,,0.90625,,0.25161033868789673,,,
1,829,,0.9375,,0.22906529903411865,,,
1,839,,0.8125,,0.41963207721710205,,,
1,849,,0.9375,,0.2615792751312256,,,
1,859,,0.84375,,0.3841884434223175,,,
1,869,,0.96875,,0.11840830743312836,,,
1,879,,0.96875,,0.1988752782344818,,,
1,889,,0.90625,,0.3229818344116211,,,
1,899,,0.90625,,0.2730812430381775,,,
1,909,,0.8125,,0.4200631082057953,,,
1,919,,0.8125,,0.4417389929294586,,,
1,929,,0.84375,,0.34028714895248413,,,
1,937,,,,,0.8816666603088379,0.882675290107727,0.34362727403640747
1,937,0.8317999839782715,,0.520279049873352,,,,
2,939,,0.84375,,0.30003097653388977,,,
2,949,,0.90625,,0.25067782402038574,,,
2,959,,0.84375,,0.4603212773799896,,,
2,969,,0.875,,0.3473532795906067,,,
2,979,,0.90625,,0.34177082777023315,,,
2,989,,1.0,,0.10827095806598663,,,
2,999,,0.875,,0.392699658870697,,,
2,1009,,0.9375,,0.21173658967018127,,,
2,1019,,0.90625,,0.28011754155158997,,,
2,1029,,0.90625,,0.2124658226966858,,,
2,1039,,0.875,,0.2864147424697876,,,
2,1049,,0.875,,0.363832026720047,,,
2,1059,,0.84375,,0.3823002278804779,,,
2,1069,,0.84375,,0.5619286298751831,,,
2,1079,,0.96875,,0.1269860863685608,,,
2,1089,,0.90625,,0.26861655712127686,,,
2,1099,,1.0,,0.14910581707954407,,,
2,1109,,0.96875,,0.24385197460651398,,,
2,1119,,0.875,,0.3663279414176941,,,
2,1129,,0.9375,,0.2126600742340088,,,
2,1139,,0.9375,,0.28102338314056396,,,
2,1149,,0.96875,,0.1750171035528183,,,
2,1159,,1.0,,0.10484371334314346,,,
2,1169,,0.90625,,0.27716222405433655,,,
2,1179,,0.875,,0.30674028396606445,,,
2,1189,,0.84375,,0.4004824757575989,,,
2,1199,,1.0,,0.0765310525894165,,,
2,1209,,0.84375,,0.5309543609619141,,,
2,1219,,1.0,,0.1340794414281845,,,
